zip,name,naics,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,city,stabbr,cty_name
19111,"PHILADELPHIA, PA",813///,28,24,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19147,"PHILADELPHIA, PA",813///,28,13,10,3,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19122,"PHILADELPHIA, PA",813///,28,17,6,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19146,"PHILADELPHIA, PA",813///,30,23,N,3,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19140,"PHILADELPHIA, PA",813///,30,19,4,4,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19104,"PHILADELPHIA, PA",611///,32,12,3,6,4,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19121,"PHILADELPHIA, PA",813///,34,24,8,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19123,"PHILADELPHIA, PA",813///,35,18,5,5,6,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19147,"PHILADELPHIA, PA",611///,35,19,3,5,5,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19130,"PHILADELPHIA, PA",813///,36,18,6,5,3,3,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19144,"PHILADELPHIA, PA",813///,38,24,6,5,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19143,"PHILADELPHIA, PA",813///,42,29,7,4,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19103,"PHILADELPHIA, PA",611///,45,22,N,7,6,3,4,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19106,"PHILADELPHIA, PA",813///,60,22,15,13,6,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19107,"PHILADELPHIA, PA",813///,70,37,19,9,5,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19102,"PHILADELPHIA, PA",813///,79,38,21,14,3,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19104,"PHILADELPHIA, PA",813///,86,45,15,12,10,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19103,"PHILADELPHIA, PA",813///,158,66,37,25,19,7,4,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
